chimera,mKate_pix,mKate_pix_std,GFP_pix,GFP_pix_std,mKate_mean,mKate_std,GFP_mean,GFP_std,pix_ratio_mean,pix_ratio_std,intensity_ratio_mean,intensity_ratio_std,sum_ratio
CsChrim,0.988915792559,0.190697584256,0.9876209407,0.200313485559,0.996346574607,0.106478577845,0.991722003486,0.104391824025,0.998294676479,0.0262697873755,0.994830572578,0.0636410615045,0.992388616053
C1C2,0.966903237589,0.243110527054,0.899282801495,0.206472755673,1.59518052709,0.410050045207,0.363605979972,0.0921806050585,0.945609642971,0.0836725348531,0.2486791532,0.0948260326905,0.349802454095
CheRiff,0.309113076224,0.0997723088657,0.204767094029,0.0727104020881,0.158549568226,0.0186957857945,0.278190835945,0.0713773184262,0.686285013272,0.12974312928,1.73034388039,0.29724686754,0.199826164631
c12,1.10933175549,0.20250263634,0.409975230825,0.192057104813,1.786414909,0.350265499692,0.103303817246,0.0343767334087,0.35179687749,0.13556109448,0.058753504724,0.0157525337759,0.0408426359412
c17,,,,,,,,,,,,,
c18,0.400576961251,0.0,0.0400014159836,0.0,1.79263740078,0.0,0.0568076057954,0.0,0.103300286688,0.0,0.0314903657677,0.0,0.00586824196471
c23,0.60018260273,0.123799427884,0.0241306247159,0.00823703869545,0.527539184693,0.156526047848,0.0487501708601,0.0193091318654,0.0397143701932,0.00684727943335,0.0985631228858,0.035820089806,0.00194706304105
c26,0.331948257079,0.000812203058393,0.0417406565736,0.0102721315053,0.771474919446,0.402863899072,0.158159564373,0.0448096490108,0.1236972203,0.027699316032,0.331306531857,0.212129562428,0.0183227018477
c30,1.17413290613,0.43534755005,0.112989642214,0.0532030696774,2.41417333363,0.772975838806,0.0703879648676,0.0172999767478,0.0925804999921,0.0207949616642,0.0308748985298,0.0038288913202,0.00686945277477
c46,0.867433769173,0.223587097802,0.126205519212,0.0550249298522,0.320279994691,0.0315819252272,0.128103092763,0.0284426658861,0.136665896107,0.0318297129135,0.411630544204,0.107392436879,0.0170839773728
c68,0.787510693972,0.369340166679,0.093725013588,0.0749172761655,2.18964397035,1.11616034075,0.057054001293,0.0196759180786,0.0972118667632,0.0471183904399,0.0372013587772,0.0375601906903,0.00603312549749
c82,0.27703846285,0.0470746310923,0.0295554166385,0.00746002468878,0.299865163542,0.0357476786131,0.110034266844,0.0576214102631,0.114334206427,0.0398517250879,0.396593628397,0.206821804704,0.0144531003141
c91,0.193016657732,0.0591745765432,0.00600128781558,0.00396022973785,0.230077788302,0.0347706563139,0.0745264743746,0.0901722909389,0.0342049993549,0.0181913096209,0.278097421334,0.295967953724,0.0041271426565
c94,0.915594884498,0.157475651467,0.0118882823383,0.00465340431904,0.576966773111,0.045538213741,0.0187250652236,0.0031856410677,0.0129335778519,0.00326690770302,0.0323190537324,0.00367306525472,0.000252046012847
c98,0.274979128855,0.00696594677924,0.0289917115728,0.0151303950112,0.239524401221,0.0564268361649,0.0850086455441,0.0430242709311,0.104613934071,0.0546457526684,0.414580266979,0.271266779832,0.0112441825084
c99,0.580610046002,0.144519941018,0.0605583134989,0.0183806451798,0.683118591089,0.256735330647,0.115334733105,0.0515338505943,0.10535184847,0.0142972365657,0.164520922059,0.0146079127259,0.0114177743395
c100,0.802899286044,0.168270756976,0.0901806294075,0.0375002452446,2.07107085959,0.445096260958,0.0703091385271,0.0175349259126,0.108835118109,0.0406760628748,0.0347509626139,0.00748197791578,0.00826915706729
c101,0.502731729615,0.113659520878,0.0194934789891,0.0071720953023,0.177356246086,0.0218957921612,0.0449755696153,0.0091411235906,0.0381966148911,0.0091962668463,0.257643061253,0.0437342600304,0.00179465822706
n26,0.913116414575,0.251704887726,0.0927108191388,0.0390337166155,2.49764973437,0.345022224749,0.100623432819,0.046031358183,0.0971621623415,0.0195169195864,0.0414340316322,0.0232758938818,0.00952773012138
n27,0.179289614524,0.0908451661733,0.0101252711258,0.00887898608882,0.152183373212,0.0194793581749,0.0751820882288,0.0797215300782,0.0499560307227,0.020186435338,0.43928685407,0.417735468377,0.00535254719302
n30,0.297501399786,0.0676022715167,0.0106790314845,0.00332060171333,0.367323760378,0.0361276579308,0.0440935419558,0.00569327284973,0.0387321791478,0.0050950753134,0.140363346552,0.0252960304099,0.0017295302405
n31,0.256131480097,0.0927983087627,0.0162092447773,0.00683322725758,0.388165387878,0.0269813405503,0.0673336969488,0.006619713309,0.0615446967952,0.0111015791041,0.183546335744,0.0325650594691,0.00417905059668
n33,,,,,,,,,,,,,
n54,0.678248240292,0.338299770767,0.427756746519,0.29715965309,0.25193706911,0.0229553848369,0.168388528338,0.0780049451876,0.501646309413,0.252038216595,0.68903048139,0.347905048481,0.104042136254
n81,0.297816300033,0.0404493020272,0.015681822219,0.00422347787671,0.379809850387,0.0767751311664,0.0717282044854,0.0122806837352,0.0524532928805,0.00763775902445,0.189595990435,0.0320956267021,0.00385473487251
n85,0.421544850096,0.220254672572,0.0550697953283,0.0425593136263,0.240858624398,0.0392509252837,0.0741105829858,0.0160073821923,0.111612573944,0.0360132272033,0.340275169147,0.136348401614,0.00862783135392
n90,0.525058356225,0.203099457451,0.0418894204292,0.0152090916565,1.06604620776,0.347613332149,0.0666102306712,0.0301488679722,0.0767701119477,0.0192107365818,0.0797396335245,0.0590450283263,0.00555482258317
n91,0.258725133863,0.0674285546881,0.0146054274214,0.00410799329174,0.209234542534,0.0139381708609,0.110383327874,0.0710519864161,0.0598927641847,0.0219465425924,0.566854225657,0.44786850474,0.0080895008298
n92,1.3884252663,0.352052417704,1.08554699152,0.299151573669,0.51084091556,0.0950904357441,0.639035763066,0.11992136502,0.783155070017,0.0128378510574,1.26389396708,0.147131078798,0.500228150219
n98,0.725577889858,0.110823963779,0.0530742938967,0.0195995390117,0.737745494444,0.245500577507,0.0899618027566,0.0312528268977,0.071611651002,0.01921516735,0.129759296596,0.0525012810562,0.00691022933293
n99,0.733843604914,0.13872047463,0.0337851433909,0.0076881185403,0.443110413494,0.0718992665779,0.0479512731956,0.0231150702608,0.0465941410805,0.0114338847228,0.114693959388,0.0537413239328,0.00249331397856
n102,0.769938037036,0.210844359558,0.0262163262879,0.0117700229531,0.420483631849,0.121411719696,0.0261321342101,0.00714662183933,0.0330885000174,0.0113925675264,0.0642347342118,0.0124599466744,0.000945709553689
CbChR1,0.842475146348,0.119671772392,0.00412776773822,0.00377709662175,0.200354582369,0.0202860304235,0.00395801252285,0.00155426256924,0.00512415697501,0.00530307740488,0.0207306030001,0.00789740100867,1.22259882933e-05
CsCbChR1,0.552580763389,0.262203089051,0.00297772172673,0.00122115268254,0.249720708235,0.0570261400569,0.0110046561935,0.00212901641354,0.00572058398067,0.000825984208516,0.049154354771,0.0220060276002,6.46458455402e-05
